destination_id,title,avg_rating,voted_by,genre,history,art_and_architecture,nature,adventure,entertainment,health_and_lifestyle,food,industries,religious
2800,Leisure Holidays Pvt Ltd,4.771905697445972,0,"['Cultural Tours', 'Walking Tours']",False,True,False,False,False,False,False,False,True
2801,Multinational Trekking & Expedition,4.771905697445972,0,['Walking Tours'],False,False,False,False,False,False,False,False,False
2802,Blend Cashmere,4.771905697445972,0,['Speciality & Gift Shops'],True,True,False,False,False,False,False,False,False
2803,Adventure Ascent,4.771905697445972,0,"['City Tours', 'Cultural Tours']",True,True,False,False,True,False,False,False,False
2804,Pavitra Kailash Yatra,4.771905697445972,0,"['Multi-day Tours', 'Cultural Tours']",True,False,False,False,False,False,False,False,False
2805,Outdoor Adventure Center Nepal,4.771905697445972,0,['Game & Entertainment Centers'],False,False,False,False,True,False,False,False,False
2806,Gorkhali Adventures Pvt Ltd,4.771905697445972,0,"['Private Tours', 'Day Trips']",False,False,True,False,False,False,False,False,False
2807,Khukuri House,4.771905697445972,0,['Speciality & Gift Shops'],True,True,False,False,False,False,False,False,False
2808,Holiday Treks And Expedition,4.771905697445972,0,"['Cultural Tours', 'Climbing Tours']",False,True,False,False,False,False,False,False,True
2809,NH Travels and Tours,4.771905697445972,0,"['Multi-day Tours', 'Climbing Tours']",True,False,False,False,False,False,False,False,False
2810,Holiday Treks & Expeditions,4.771905697445972,0,"['Multi-day Tours', 'Cultural Tours']",True,False,False,False,False,False,False,False,False
2811,Pancha Kosha Himalayan Spa,4.771905697445972,0,"['Architectural Buildings', 'Libraries']",True,True,False,False,False,False,False,False,False
2812,Tranquility Spa,4.771905697445972,0,['Spas'],False,False,False,False,False,True,False,False,False
2813,"Tranquility Beauty Salon, Lazimpat",4.771905697445972,0,['Yoga & Pilates'],False,False,False,False,False,True,False,False,False
2814,Kasa Boudh,4.771905697445972,0,['Speciality & Gift Shops'],True,True,False,False,False,False,False,False,False
2815,Bandipur SPA,4.771905697445972,0,['Day Trips'],False,False,False,False,False,False,False,False,False
2816,Red Carpet Journey,4.771905697445972,0,"['City Tours', 'Cultural Tours']",True,True,False,False,True,False,False,False,False
2817,Sole Encounters,4.771905697445972,0,"['Multi-day Tours', 'Walking Tours']",True,False,False,False,False,False,False,False,False
2818,Beebal Singh Limbu,4.771905697445972,0,"['City Tours', 'Multi-day Tours']",True,True,False,False,True,False,False,False,False
2819,Nepal View Treks and Expedition,4.771905697445972,0,"['Multi-day Tours', 'Helicopter Tours']",True,False,False,False,False,False,False,False,False
2820,Sujan Dhakal,4.771905697445972,0,"['Multi-day Tours', 'Safaris']",True,False,False,False,False,False,False,False,False
2821,Api Adventure Eco Tour,4.771905697445972,0,"['Multi-day Tours', 'Canyoning & Rappelling Tours']",True,False,False,False,False,False,False,False,False
2822,Raj Kumar,4.771905697445972,0,"['Multi-day Tours', 'Cultural Tours']",True,False,False,False,False,False,False,False,False
2823,Sumire Tours and Travel,4.771905697445972,0,['Multi-day Tours'],True,False,False,False,False,False,False,False,False
2824,Everest Rhino Travel Pvt Ltd,4.771905697445972,0,"['Multi-day Tours', 'Private Tours']",True,False,False,False,False,False,False,False,False
2825,One Nepal Treks and Tours,4.771905697445972,0,"['Historical & Heritage Tours', 'Sightseeing Tours']",True,True,False,False,False,False,False,False,False
2826,Bucket List Travel,4.771905697445972,0,"['Multi-day Tours', 'Sightseeing Tours']",True,False,False,False,False,False,False,False,False
2827,Nepal Power Places,4.771905697445972,0,"['Multi-day Tours', 'Safaris']",True,False,False,False,False,False,False,False,False
2828,Sukram Lama,4.771905697445972,0,"['Hiking & Camping Tours', 'Day Trips']",False,False,False,True,False,False,False,False,False
2829,Wind Horse Trekking Pvt Ltd,4.771905697445972,0,"['Multi-day Tours', 'Private Tours']",True,False,False,False,False,False,False,False,False
2830,Kathmandu Day Trips,4.771905697445972,0,"['Multi-day Tours', 'Taxis & Shuttles']",True,False,False,False,False,False,False,False,False
2831,Chandragiri Hill,4.771905697445972,0,"['Points of Interest & Landmarks', 'Lookouts']",True,True,True,False,False,False,False,False,False
2832,Aspiration Adventure,4.771905697445972,0,"['Multi-day Tours', 'Helicopter Tours']",True,False,False,False,False,False,False,False,False
2833,Pokhara Tour,4.771905697445972,0,"['Multi-day Tours', 'Private Tours']",True,False,False,False,False,False,False,False,False
